category_id,employee_id,category_name,rating,quantity_sold,being_manufactured,total_sold_value
HSO,1760,Minivan,55 %,73377,1,6886887
YDU,2700,Hatchback,86 %,61343,1,4408174
IUE,3998,Sedan,65 %,58780,1,2338213
INJ,3279,Off-Road Vehicle,97 %,51530,1,7989147
WPZ,876,SUV (Sport Utility Vehicle),24 %,53540,1,8226492
MSR,1264,Microcar,77 %,23394,1,6775572
XTQ,920,Electric Car,81 %,48082,1,3279733
TAH,4208,Luxury Car,98 %,62932,1,5983270
ULH,3460,Convertible,13 %,44845,1,3103144
GBI,2281,Electric Car,40 %,74669,1,6135439
PTO,1889,Luxury Car,100 %,79216,1,6951452
GBR,2478,Pickup Truck,41 %,85381,1,3835748
QKH,4091,Pickup Truck,47 %,47540,1,8280787
DCV,2007,Hybrid Car,66 %,35920,1,500169
MFV,2799,Convertible,38 %,17225,1,1726041
YBN,4003,Sedan,35 %,24155,1,6816533
XAP,2393,Sedan,37 %,63172,1,4961340
VGQ,2274,Electric Car,98 %,87295,1,6058227
FJV,1402,Coupe-SUV,77 %,25805,1,9611069
JDM,3227,Hybrid Car,64 %,59168,1,5796936
BCR,1197,Minivan,30 %,21743,1,5967982
XQF,1380,Electric Car,10 %,25689,1,7659489
YFV,4466,Convertible,85 %,17755,1,3762854
AVM,3387,Coupe-SUV,36 %,83979,1,548562
FTS,1271,Off-Road Vehicle,1 %,64618,1,9613261
ONY,4366,Coupe-SUV,30 %,13411,1,9211864
IVC,1592,Convertible,15 %,61909,1,7796164
AZV,1596,Crossover,9 %,62808,1,1066897
PXI,1533,Hatchback,18 %,52419,1,8780561
MLJ,1702,Luxury Car,67 %,50594,1,7544441
RYO,1596,Convertible,76 %,25837,1,8100729
AKO,918,Hybrid Car,95 %,46069,1,3991197
FSM,4329,Coupe-SUV,41 %,43696,1,9950357
OHL,3591,Microcar,5 %,36522,1,318354
QPG,3299,Electric Car,35 %,45162,1,1540158
UCQ,3611,Convertible,14 %,61995,1,3662484
ZXP,4409,Pickup Truck,80 %,44469,1,9623023
FGD,3550,Coupe,93 %,87804,1,1801395
RXW,1193,Electric Car,80 %,76114,1,7074470
VYY,670,Hybrid Car,20 %,18790,1,6054188
DZV,1316,Minivan,61 %,14092,1,285930
LTS,1193,SUV (Sport Utility Vehicle),3 %,40021,1,3770303
FSA,1527,SUV (Sport Utility Vehicle),52 %,62692,1,8138317
PYN,3231,Microcar,74 %,91335,1,7606951
YTW,4578,Hatchback,100 %,48627,1,3735984
WPX,1937,Minivan,47 %,25464,1,1602223
XIQ,4048,SUV (Sport Utility Vehicle),71 %,93462,1,2297662
UMF,3748,Coupe,42 %,99054,1,2442535
UME,1258,Sports Car,34 %,79953,1,1278695
VAF,1229,Coupe-SUV,95 %,31811,1,6893928
OHK,3881,Hatchback,53 %,87475,1,2966289
QMU,4125,Off-Road Vehicle,16 %,28221,1,3843481
OOK,2272,Crossover,88 %,30150,1,3216012
SVS,2587,Luxury Car,96 %,98707,1,4261561
BXI,2683,Convertible,71 %,63141,1,5507569
RHK,4018,Minivan,52 %,17494,1,1647992
NEA,2514,Off-Road Vehicle,90 %,24906,1,1747178
CUK,4256,Crossover,3 %,51691,1,1317273
FWM,1823,Luxury Car,6 %,14385,1,5952240
QWU,3272,Sports Car,39 %,77652,1,9008566
LDF,555,Hatchback,21 %,38622,1,4502779
HZL,3440,Off-Road Vehicle,86 %,67925,1,9708881
TNL,810,Microcar,82 %,18817,1,5906727
KMH,1653,Off-Road Vehicle,13 %,48182,1,8555585
OKJ,3825,Microcar,71 %,30659,1,506807
QDL,1899,Sedan,100 %,72985,1,4309324
MOX,4244,Minivan,37 %,40960,1,3880656
JNV,3859,Luxury Car,26 %,50619,1,4081776
GSJ,1063,Coupe,31 %,77693,1,2115117
CTZ,4057,Hatchback,90 %,46995,1,4308438
TON,1967,Microcar,7 %,37625,1,7311613
FCD,583,Luxury Car,23 %,88377,1,7110016
LUI,2388,Coupe,95 %,93144,1,7512528
WEA,2818,Luxury Car,89 %,78717,1,4232209
XDI,4443,Hybrid Car,14 %,62272,1,5500825
AOQ,922,Pickup Truck,90 %,66733,1,1412560
BKU,1453,Hatchback,12 %,96288,1,1468401
AAV,4260,Hatchback,93 %,68491,1,5111819
QVG,1064,Sedan,19 %,89995,1,956345
UIA,4099,Microcar,73 %,54881,1,8588271
RKP,3151,Sedan,6 %,34120,1,7455812
CBP,2284,Minivan,37 %,90959,1,1660267
YCW,4291,Coupe-SUV,49 %,78432,1,1207055
IJG,3482,Hybrid Car,98 %,42484,1,8015595
ASG,4364,Coupe-SUV,100 %,97419,1,9062288
LVW,3352,Electric Car,98 %,72344,1,7711812
PLK,3985,Hybrid Car,38 %,46233,1,2291169
ZHH,3683,Minivan,39 %,91843,1,1773896
IIC,1554,Coupe,68 %,95984,1,3859427
SWY,1204,SUV (Sport Utility Vehicle),90 %,36249,1,552937
AWJ,581,Minivan,62 %,61877,1,3711871
FDX,2965,Hatchback,13 %,29089,1,6057291
OBD,926,Coupe-SUV,82 %,37859,1,4934953
EWD,3157,Sports Car,54 %,85584,1,5503017
WLX,2474,Coupe,83 %,48966,1,7060703
OIX,996,Off-Road Vehicle,76 %,52310,1,1799787
NTZ,2089,Off-Road Vehicle,20 %,85700,1,8705131
OPD,2076,Hybrid Car,92 %,66601,1,6273050
NIZ,1423,Coupe,97 %,18530,1,4194828
PGU,2261,Off-Road Vehicle,21 %,13053,1,4064827
NOV,3707,Sports Car,87 %,56520,1,8242010
MVC,2021,Microcar,31 %,73456,1,7434706
FKS,3421,Coupe,69 %,93385,1,1136862
TNB,634,Coupe,61 %,87346,1,3672520
FEQ,3479,Coupe,63 %,24883,1,3865953
