order_id,customer_id,product_id,store_id,employee_id,order_date,shipped_date,required_date,order_status,quantity
10000,6690,5714,853,1408,2018-04-15,2021-06-05,2022-07-17,Completed,4
10001,4592,10726,1470,4735,2018-10-28,2021-03-12,2022-05-19,Completed,5
10002,3680,16526,1269,2561,2016-09-06,2020-01-26,2025-12-23,Pending,2
10003,4585,10251,807,1429,2019-12-20,2021-09-22,2024-07-28,Completed,9
10004,1757,8679,973,1842,2016-07-08,2020-11-04,2025-01-05,Completed,9
10005,3929,2990,1333,3202,2017-12-06,2021-01-13,2023-11-04,Completed,10
10006,5001,3842,1540,1851,2017-03-21,2020-12-02,2023-09-13,Completed,5
10007,4015,2874,1009,2510,2017-03-23,2020-04-27,2025-12-25,Completed,5
10008,1117,3764,1651,4723,2018-09-23,2021-09-09,2022-01-14,Completed,3
10009,5023,10010,1344,1245,2019-04-16,2020-08-05,2024-07-27,Completed,3
10010,6600,11252,982,3580,2019-01-30,2021-02-11,2023-03-01,Completed,5
10011,1986,2342,2000,2173,2019-10-13,2020-08-12,2026-09-07,Completed,10
10012,4936,9063,1177,3520,2018-10-13,2021-03-27,2024-07-09,Completed,1
10013,2329,16280,777,3916,2016-07-05,2020-09-16,2024-04-14,Completed,8
10014,5011,9019,1456,3667,2019-10-26,2020-09-07,2022-08-28,Completed,2
10015,3180,6278,1017,3730,2019-06-10,2020-05-29,2022-03-20,Completed,4
10016,4034,7516,1191,4058,2016-09-04,2021-03-26,2024-05-19,Completed,1
10017,6266,18666,1797,4738,2017-05-01,2021-06-11,2025-04-26,Completed,4
10018,2890,11217,850,1254,2017-05-23,2021-10-19,2022-11-08,Completed,1
10019,4334,6701,1581,586,2018-01-29,2021-06-09,2026-12-18,Completed,8
10020,1821,11360,992,1126,2019-10-26,2020-05-11,2024-01-10,Completed,2
10021,5258,7188,1648,3224,2019-05-01,2021-05-22,2026-12-10,Completed,10
10022,5443,17910,1462,3689,2017-10-28,2020-12-06,2026-11-26,Completed,1
10023,1075,10026,1511,798,2019-03-22,2021-03-27,2026-01-17,Completed,7
10024,2776,8505,1355,2758,2018-10-15,2020-10-04,2022-07-27,Completed,9
10025,4400,5863,1703,946,2019-01-18,2020-04-23,2023-09-03,Completed,10
10026,5377,4027,1974,3805,2017-10-18,2021-06-08,2025-01-07,Completed,9
10027,4231,18481,1307,1084,2016-08-03,2020-03-22,2024-08-13,Pending,2
10028,3968,7476,1565,3471,2018-06-07,2020-02-15,2022-02-11,Pending,7
10029,3650,3536,1455,2880,2017-10-03,2020-04-13,2022-05-04,Completed,4
10030,6196,11417,1296,2847,2019-02-17,2020-03-26,2024-07-17,Completed,6
10031,5724,8075,1958,1308,2018-03-09,2021-01-13,2025-08-28,Completed,1
10032,2015,17327,1884,1699,2017-06-04,2020-06-25,2025-10-01,Completed,5
10033,3792,13457,894,1271,2017-11-05,2021-03-04,2025-11-04,Completed,10
10034,3248,3594,1257,2697,2017-11-26,2020-03-19,2026-12-17,Completed,10
10035,1360,11598,1415,3419,2016-11-04,2021-08-25,2022-05-05,Completed,6
10036,2212,4696,874,4296,2016-05-12,2021-10-06,2024-07-11,Completed,8
10037,3423,14246,1519,1576,2019-10-30,2021-08-02,2023-07-12,Completed,10
10038,3057,11254,784,3421,2017-01-23,2020-03-12,2022-10-05,Completed,8
10039,3967,8562,990,4601,2016-05-29,2021-06-26,2023-03-08,Completed,4
10040,4641,4069,1175,1309,2017-02-15,2021-12-22,2024-11-16,Completed,3
10041,2537,14050,965,1843,2017-03-26,2020-10-18,2022-06-25,Completed,1
10042,3167,11323,1134,4616,2017-10-28,2021-07-14,2022-11-24,Completed,4
10043,4183,15779,1270,802,2019-09-26,2020-07-02,2026-06-27,Pending,1
10044,5828,14856,1425,1752,2016-06-04,2021-05-07,2023-02-15,Completed,8
10045,1814,7679,856,3911,2019-10-30,2021-04-12,2024-01-05,Completed,6
10046,6162,16010,806,3202,2017-06-14,2021-01-16,2024-04-16,Completed,5
10047,4648,8147,1282,1565,2019-07-05,2021-03-09,2023-10-15,Completed,9
10048,6261,16255,936,4180,2017-08-06,2021-01-22,2024-06-19,Completed,3
10049,2430,9767,1918,3518,2017-01-09,2020-06-11,2023-02-21,Completed,9
10050,2488,13917,2015,1422,2016-12-23,2020-01-09,2026-05-05,Completed,10
10051,5824,11541,1473,2599,2019-02-23,2020-04-30,2025-04-28,Completed,3
10052,6052,10903,1082,1256,2017-08-13,2020-01-15,2022-04-28,Completed,9
10053,6043,17254,706,2363,2017-06-28,2021-05-10,2024-03-24,Pending,1
10054,2176,13122,1660,3820,2018-07-19,2020-06-09,2024-01-01,Completed,8
10055,3196,8859,1361,1043,2018-06-06,2021-07-10,2025-04-27,Completed,6
10056,2813,14712,1616,3385,2016-05-06,2020-12-02,2026-01-05,Completed,9
10057,3599,6635,1100,2071,2018-10-08,2020-09-23,2025-03-31,Completed,5
10058,6177,10171,1255,1032,2016-01-19,2021-05-22,2024-11-27,Completed,4
10059,3432,5555,1607,595,2019-02-17,2021-06-23,2022-02-24,Completed,8
10060,6442,4376,1594,1085,2017-06-07,2021-10-22,2026-01-18,Completed,9
10061,6322,11591,840,2182,2016-01-12,2021-09-12,2025-06-04,Completed,4
10062,5336,8668,1546,2340,2016-04-16,2020-08-27,2022-05-01,Completed,5
10063,2706,13809,1721,3603,2017-04-03,2021-09-08,2023-07-05,Completed,8
10064,1282,3725,1876,4025,2019-03-16,2020-11-17,2026-04-21,Completed,9
10065,6483,14114,838,2345,2017-01-05,2020-04-30,2023-04-13,Completed,8
10066,3623,8281,1177,2703,2017-10-10,2020-04-17,2024-09-13,Completed,9
10067,6090,2611,843,752,2016-10-22,2021-10-10,2023-04-29,Pending,4
10068,1156,5995,1345,2613,2019-05-31,2021-05-20,2025-04-19,Completed,7
10069,1647,13990,1554,4346,2019-07-31,2020-06-05,2026-06-06,Pending,10
10070,1742,11375,1361,1372,2016-09-13,2020-04-13,2022-03-08,Completed,7
10071,5909,8019,1004,2592,2019-10-30,2021-06-22,2023-08-07,Completed,10
10072,4616,17424,1120,2443,2018-03-20,2021-08-29,2022-02-13,Completed,1
10073,3013,7400,1896,3929,2019-06-10,2020-11-18,2026-04-15,Completed,3
