provider_id,category_id,product_name,model,year,color,km,price
1,FRO,Porsche,Cayman GT4,2022,Moccasin,78762,20127
1,RIV,Land Rover,Range Rover Evoque,2014,LightGreen,234874,16519
1,HXN,Jaguar,XKR,2005,DarkGreen,127596,20917
1,WLX,BMW,X5,2003,LightSkyBlue,89067,15258
1,BYQ,Land Rover,Range Rover SVR,2020,Yellow,192330,15941
1,ZNI,Audi,A6,2021,Salmon,165798,25486
1,RBB,Subaru,Ascent,2011,Azure,39154,36431
1,JUX,Volkswagen,Tiguan,2007,RosyBrown,122236,23400
1,GGH,Bentley,Bentayga Speed,2010,LightCyan,57225,24019
1,SGI,Ferrari,Portofino,1998,Chocolate,255247,17371
1,FTH,Genesis,GV70,2020,Cornsilk,29314,34426
1,DCV,Lexus,GX,2005,AliceBlue,126830,27157
1,IDV,McLaren,570S,2012,LightSeaGreen,268457,26389
1,WSE,Buick,Riviera,2010,Tan,108118,25693
2,GBR,Kia,Sportage,2014,DarkSlateGray,168466,18142
2,LZB,Tesla,Model S,2008,Peru,187597,33841
2,NGN,Subaru,Outback,2017,DarkOrchid,249013,27963
2,MEG,Dodge,Dart,2006,DarkRed,221884,36669
2,FLU,McLaren,675LT,2003,IndianRed,107967,15008
2,NJW,Audi,Q3,2006,YellowGreen,86514,41762
2,BYQ,Ford,Edge,2019,AliceBlue,246521,17107
2,IMT,Ferrari,F8 Tributo,2019,SteelBlue,113332,18843
2,MHY,Mini,Hardtop,2013,LimeGreen,105927,21284
2,CMI,Mitsubishi,Montero,2022,Sienna,29125,37101
2,PHY,Buick,Enclave,2022,Cornsilk,158808,41330
2,CQW,Porsche,911 GT3,2018,Orange,226860,23322
2,NKN,Subaru,BRZ,2015,LightCyan,66671,22193
3,FWM,Nissan,Pathfinder,2002,Khaki,22708,25147
3,ADD,Genesis,G70,2014,Linen,106559,39934
3,GAJ,Ford,Taurus,1998,DeepSkyBlue,203243,39270
3,HKF,Ford,F-150,2011,WhiteSmoke,11675,19895
3,NKN,Chevrolet,Corvette,2011,RosyBrown,183477,25461
3,RPJ,Tesla,Cybertruck,1996,LightSlateGray,176985,34628
3,XRN,Mini,Countryman,2001,MediumPurple,60515,29282
3,JXP,McLaren,570S,2010,Tan,108929,30695
3,MSR,Land Rover,Defender,2006,CornflowerBlue,30254,17797
3,XQO,Bugatti,Divo,2003,LightSlateGray,212253,21331
3,IWX,Infiniti,QX70,2003,PowderBlue,88001,17332
3,QFQ,BMW,i3,2021,Olive,70879,43076
3,RBB,Land Rover,Range Rover Sport,2022,Green,75401,39460
3,YYO,BMW,X3,2016,DarkViolet,132003,27066
4,XSP,Acura,RLX,2022,PaleGreen,186617,43083
4,DCZ,Bugatti,Veyron,2010,LightSteelBlue,47878,21245
4,SFC,Volkswagen,Tiguan Allspace,2017,Azure,216793,36139
4,YII,Ferrari,488,2021,Beige,195113,36960
4,MEY,Mitsubishi,Eclipse,2022,DimGray,219535,38485
4,RLK,Rolls-Royce,Wraith,2002,LightBlue,98340,29551
4,UWY,McLaren,570S,2023,DarkMagenta,260212,34972
4,AMT,Jeep,Wrangler,1997,SteelBlue,269700,17405
4,PUP,Mazda,MX-3,2022,LemonChiffon,22330,30461
4,YNI,Hyundai,Ioniq,2007,CadetBlue,260563,43182
4,OAK,Lexus,LX,2016,Salmon,30697,39522
4,RZF,Rolls-Royce,Wraith BlackBadge,2016,NavajoWhite,217438,29272
4,NBK,Aston Martin,Vantage Roadster,2015,MediumSlateBlue,37039,42751
4,RTR,Tesla,Model ATV,2008,Violet,1324,21151
5,NQL,Mitsubishi,Outlander,2008,Brown,85746,23340
5,UGS,Jeep,Cherokee,2005,White,221377,27721
5,MNR,Bugatti,Chiro Sport,2011,DarkSlateGray,246271,31430
5,ADD,Bentley,Continental,2007,NavajoWhite,169442,36091
5,CMA,Tesla,Model Semi,2012,Tomato,70451,18679
5,AZV,Subaru,Justy,2010,Sienna,56707,37550
5,PEG,Bentley,Mulsanne,1999,LightSalmon,180468,19697
5,ULI,Chevrolet,Silverado,2008,DarkMagenta,136324,23916
5,ZHZ,McLaren,600LT Spider,2003,LightYellow,230172,42132
5,XYF,Jeep,Grand Cherokee,2008,Indigo,76144,33903
6,KVZ,Buick,Skylark,2014,DarkGoldenRod,148892,41322
6,EDS,Ford,Expedition,2013,CadetBlue,8561,18079
6,YSS,Dodge,Nitro,2022,SlateGray,39571,38956
6,DAI,Rolls-Royce,Phantom Drophead Coupe,2023,MediumOrchid,264661,25964
6,HNM,Chevrolet,Blazer,2009,MintCream,32395,39423
6,YQP,Tesla,Model Semi,1996,Ivory,11170,33972
6,OVN,Tesla,Model Cybertruck,2018,Purple,179870,24517
6,IFW,Jeep,Grand Cherokee,2011,Fuchsia,47788,16919
6,KXM,Ferrari,488,2001,Indigo,252266,43405
6,XJF,Bugatti,Chiron,2018,Purple,41101,29531
6,VAX,Aston-Martin,Vantage,2020,SteelBlue,41071,44460
6,IRK,Jaguar,I-PACE,2014,PeachPuff,255265,40574
6,HGP,Honda,CR-Z,2012,Indigo,212963,44123
6,FHY,Kia,Soul,2012,Red,14303,16146
6,ZYB,Chevrolet,Traverse,2014,HotPink,258302,30587
6,RCP,Porsche,911 GT3,1997,LightCoral,192908,18052
6,BGD,Dodge,Charger,2003,Tomato,217403,16799
6,ZJZ,Alfa Romeo,Montreal,2008,GreenYellow,65415,42446
7,EAS,Mazda,RX-4,2002,Pink,146473,23620
7,GWA,Lamborghini,Gallardo,2006,Navy,203177,20265
7,UQM,Ferrari,SF90 Stradale,2022,Green,160533,22405
7,FEL,Mini,Convertible,2013,Maroon,102816,18142
7,WLW,Infiniti,QX70,2015,SeaShell,192508,20911
7,PRX,Land Rover,Range Rover Sport,2022,LightCoral,213918,22475
7,TDL,Hyundai,Tucson,2011,Khaki,189308,31322
7,YRC,BMW,i3,2004,WhiteSmoke,182314,35614
7,QPR,LandRover,Discovery Sport,1997,Peru,888,20842
7,SGY,Ford,Explorer,2011,NavajoWhite,145917,29844
7,DBG,Mini,Cooper,2010,LightCoral,19834,43385
7,TSA,Hyundai,Venue,1997,LightSeaGreen,69261,31168
7,LXP,Toyota,C-HR,2018,FloralWhite,49612,29258
7,GVC,Jaguar,XKR,2006,Thistle,229458,41832
7,WJS,Genesis,GV70,1996,Lavender,260580,29139
7,SXA,Audi,Q8,2009,LightCyan,144730,32027
7,HTV,Mazda,RX-4,2007,PaleVioletRed,69222,42421
7,ANJ,Maserati,Quattroporte,2002,Lime,135875,38117
8,HBX,Audi,E-Tron,2021,DimGray,4481,34841
8,WWP,Genesis,GV70,2020,LawnGreen,243506,40420
8,REJ,Jaguar,XK,2010,SkyBlue,76520,25266
8,JRW,Honda,HR-V,2014,Indigo,104117,22778
8,HHI,Porsche,911,2007,DarkSlateGray,182854,42337
8,VKM,Toyota,Tundra,2009,WhiteSmoke,23917,44682
8,HXU,Kia,Niro,2022,Brown,128716,31894
8,LVA,Chevrolet,Trax,2007,SandyBrown,133733,22045
8,WED,Mazda,CX-5,2021,LightGoldenRodYellow,227167,42548
8,UEC,Dodge,Nitro,2019,LightCyan,160028,44240
8,TDO,Land Rover,Defender,2014,Gainsboro,203412,17855
8,TQX,Volkswagen,Jetta,2010,PapayaWhip,161840,41946
8,EDD,Jaguar,E-PACE,2022,DarkGoldenRod,225802,28896
8,HHC,Acura,RDX,2008,LightGoldenRodYellow,205708,16751
8,VMD,Ford,Ranger,2010,DarkOliveGreen,57587,36683
8,WLY,Nissan,Pathfinder,2001,Maroon,68069,25831
9,GFQ,Nissan,Rogue,2007,LimeGreen,99650,43134
9,FDM,Jeep,Grand Cherokee,2009,Purple,80603,43325
9,BKQ,Land Rover,Range Rover,1998,DarkSeaGreen,246770,23810
9,MNR,Alfa,Romeo 6C,2012,Silver,129167,35223
9,RWE,Porsche,718 Boxster,2018,SeaGreen,62019,22761
9,TDD,Maserati,GranTurismo,2011,OldLace,233021,26203
9,GXM,Volvo,S60 Cross Country,1996,LightSlateGray,128021,29549
9,FJX,Mercedes-Benz,C-Class,2008,DeepPink,5893,32873
9,LHE,Ford,Mustang,1998,PaleVioletRed,96950,16160
9,TXC,Aston-Martin,V8 Vantage,2002,GreenYellow,251201,34233
10,RFS,Mitsubishi,Outlander Sport,2010,DarkOrange,94690,20857
10,KBP,Land Rover,Range Rover Sport,2023,MidnightBlue,172889,32126
10,GXM,Alfa Romeo,Giulia,2002,NavajoWhite,206583,32774
10,BCA,Toyota,Highlander,2019,Thistle,39886,24562
10,TOO,McLaren,720S Spider,2000,DarkGoldenRod,138554,23101
10,MWV,Ford,F-150,2003,LightPink,39081,18347
10,ANX,Ford,Explorer,2003,AliceBlue,96203,23388
10,AUN,Hyundai,Palisade,2021,Aqua,23068,25785
10,MIG,Lamborghini,Reventon,2004,SteelBlue,127644,16043
10,JQP,Acura,TLX,2018,PaleTurquoise,89127,25286
10,VZR,Volkswagen,Beetle,2011,SandyBrown,44850,23808
10,OTI,McLaren,570S,2003,SteelBlue,105492,39060
10,WSK,Kia,Stinger,2012,SaddleBrown,258683,41653
10,DBX,Lamborghini,Huracan Evo,2015,DodgerBlue,244874,41083
10,WGI,GMC,Yukon XL,2012,Yellow,72456,29317
10,IUN,Alfa Romeo,4C,1999,Black,192197,35811
10,OPD,Honda,CR-Z,2005,SlateBlue,188482,40100
11,TNL,Lamborghini,Veneno,2009,Tomato,262597,27501
11,XPO,Mini,Clubman,2016,OliveDrab,44552,29688
11,TMU,Nissan,Maxima,2023,PaleVioletRed,33237,42378
11,RZC,Bentley,Continental GT,2009,Wheat,4864,44844
11,EKY,Cadillac,Escalade,2001,Thistle,103867,39051
11,XGQ,Genesis,G70,2007,Ivory,31895,30040
11,MKS,McLaren,570S,2006,LightCoral,246292,37488
11,DMX,Lexus,LFA,1998,SlateBlue,196756,39002
11,BQE,Mazda,RX-8,2003,PaleGoldenRod,251461,30782
11,JPD,Mini,Coupe,2018,SaddleBrown,52432,41954
11,VAA,Lamborghini,Centenario,2003,DarkMagenta,100266,35659
11,EGS,Infiniti,QX50,2012,GreenYellow,172324,25917
11,ZRP,Cadillac,XT8,2007,BlueViolet,261502,28131
11,JFL,Hyundai,Venue,2023,Purple,190608,44937
11,URX,Genesis,G80,1997,WhiteSmoke,66701,21343
12,IRM,Porsche,Cayenne,2008,Cyan,215040,40734
12,CQW,Lexus,LS,2000,AliceBlue,261821,22620
12,SEO,Hyundai,Elantra,1998,LightBlue,253687,24666
12,FJA,Mazda,RX-8,2016,Sienna,246402,43070
12,GWA,Toyota,Highlander,2021,GreenYellow,190157,16786
12,BQZ,McLaren,570S,2018,MediumSlateBlue,54914,31280
12,VAX,Alfa,Romeo 6C,2017,Aqua,184590,32133
12,OYM,Infiniti,QX50,2011,BlueViolet,88106,19545
12,UHB,Mercedes-Benz,EQC,2010,MintCream,195366,33452
12,BKR,Lamborghini,Centenario,2007,ForestGreen,112097,28546
12,RMB,Hyundai,Palisade,2003,SaddleBrown,83824,25048
12,JPY,Volvo,S60,2021,Brown,137931,40781
13,OKO,McLaren,650S,2016,Pink,35286,33382
13,HZL,Lexus,LM,2010,BurlyWood,109387,43381
13,JIF,Chevrolet,Silverado,2007,LightSalmon,150166,33908
13,BWT,Volkswagen,Tiguan,2017,MediumAquaMarine,21466,31317
13,LBP,Lamborghini,Huracan Evo,2009,DeepPink,179946,26642
13,OFT,Honda,Fit,2001,Magenta,151513,22070
13,MXW,Infiniti,QX60,2022,LavenderBlush,105029,38151
13,BGE,Volvo,S60,2008,DarkBlue,190193,25411
13,JVF,Mercedes-Benz,S-Class,2008,LightSeaGreen,235792,16257
13,CTB,Lexus,ES,2000,RoyalBlue,36089,43217
13,JIC,Ford,Mustang,2017,LightSteelBlue,188807,17429
13,HTY,Aston-Martin,V8 Vantage,2022,Plum,48385,23615
13,OPQ,Bugatti,Veyron Grand Sport,2013,DarkMagenta,123265,33244
13,EXX,Porsche,Cayenne,2003,AntiqueWhite,213062,26352
13,EKL,Maserati,Alfieri,2003,DarkOliveGreen,225135,43279
13,DGQ,Ferrari,Monza SP1,2012,PeachPuff,61452,19453
13,VXV,BMW,X3,1996,Yellow,226145,22512
14,EOE,Volkswagen,Beetle,2007,Aquamarine,205618,34140
14,RPS,Dodge,Challenger,2008,LightPink,28456,22865
14,TQX,Honda,CR-V,2009,MediumVioletRed,135350,33281
14,DEC,Hyundai,Santa Fe,2015,LightGoldenRodYellow,60089,43838
14,OCZ,GMC,Sierra,1999,OliveDrab,124750,33204
14,DRC,Chevrolet,HHR,2006,Magenta,59871,27551
