store_id,employee_id,store_name,phone,street,city,country,email,post_code
700,3848,Nelson  Wong and Thompson,579-673-37,Lopez Walk,Patrickberg,Paraguay,colemancathy@example.com,6287
701,3664,Brandt LLC,928-962-02,Michael Cliffs,Rebeccaland,Jordan,thomasluna@example.net,8524
702,631,Hughes-Williams,526-508-69,Hunter Trace,Jeffreyside,Central African Republic,mario66@example.org,8779
703,4468,Stuart-Lee,789-164-13,King Stream,Angelicaside,Seychelles,rebeccamartinez@example.org,9637
704,3915,Johnson  Powers and Chase,901-343-83,Danielle Burg,East Joshuamouth,Montserrat,susan89@example.net,6573
705,4448,Miranda LLC,779-148-05,Armstrong Vista,West Stacey,Cote d'Ivoire,john12@example.com,8489
706,683,Rowe Group,909-934-56,Michaela Path,Michelehaven,Norway,anthonyvincent@example.org,7245
707,1071,Jones  Williams and Brown,375-323-75,Jeremy Square,North Alanbury,France,andersonseth@example.com,7642
708,4485,Banks and Sons,682-229-59,Coffey Extension,South Caleb,Nauru,karen17@example.com,6756
709,879,Thomas-Walker,984-665-97,Juan Island,Port Ericfurt,Albania,briannajohnson@example.com,9396
710,3353,Mays-Espinoza,288-922-03,Alexander Canyon,Port Michaelview,Vanuatu,qmaynard@example.org,9747
711,1661,Wade Ltd,167-021-78,Burns Knoll,Davisview,Monaco,nhall@example.com,6746
712,1653,Morris Group,367-903-25,Bridget Brooks,West Lindsayberg,Liberia,dwelch@example.org,9021
713,1969,Paul-Carter,425-409-02,Mejia Unions,Hunterville,Northern Mariana Islands,xchandler@example.org,8398
714,1237,Ford PLC,474-187-79,Vincent Gateway,Amandaside,Syrian Arab Republic,tewing@example.net,8468
715,4194,Wang  Henderson and Cooper,347-170-38,Christensen Circles,Greenebury,Honduras,kleinthomas@example.net,9095
716,2715,Robinson PLC,378-878-98,Daniel Greens,Mccarthyville,Canada,kevin13@example.com,8512
717,3542,Hammond-Bass,433-230-93,Gary Common,Darinville,United States Minor Outlying Islands,thompsondavid@example.net,9519
718,3558,Bailey-Decker,363-409-50,Peter Meadows,Tylerside,Liechtenstein,fwolf@example.org,9544
719,1468,Shah Group,865-603-79,Harris Land,Carlside,Antarctica (the territory South of 60 deg S),thompsoncarla@example.net,9644
720,2778,Rodriguez Group,988-078-05,Corey Vista,Alexandershire,Western Sahara,meaton@example.com,6892
721,4436,Peterson  Greene and Jackson,977-031-96,Jasmine Ridge,Port Patriciahaven,Seychelles,timothy87@example.com,7483
722,3904,Mclean-Wiley,838-051-42,Kevin Mission,Markland,Namibia,robertjohnson@example.org,8767
723,3844,Mathis Group,760-116-48,Ford Village,Kramerfurt,Ethiopia,browngary@example.com,7985
724,1428,Ball  Wheeler and Brown,999-089-51,Wagner Pass,Maryhaven,Brazil,qstanton@example.com,8959
725,1863,Alvarez  Brewer and Black,559-159-82,Garza Run,Warrenland,New Zealand,joel33@example.com,8522
726,2490,Obrien  Smith and Brady,437-416-61,Christina Heights,North Jonathan,Niger,emily50@example.com,9695
727,1160,Webb  Dean and Jones,898-860-35,Santiago Corner,South Annaton,Korea,thomasjoseph@example.org,7811
728,3720,Tucker Group,947-401-45,Turner Lodge,Garciaport,Ecuador,blopez@example.org,8466
729,2378,Johnson and Sons,108-707-48,Daisy Shores,Micheleshire,Bahamas,ashley73@example.org,7068
730,3314,Brown-Reynolds,779-948-12,Howard Estates,Bishopton,Chad,browningdenise@example.net,9751
731,2379,Doyle  Stewart and Olson,504-375-67,Jason Ridges,Pamelafurt,Cote d'Ivoire,brownsteven@example.org,9679
